IPA,Arpabet (do not use),Input ID,Viseme
aɪ,,16,A
aʊ,,17,O
b,,18,S
d,,19,S
d͡ʒ,,20,S
eɪ,,21,A
f,,22,F
h,,23,A
i,,24,E
j,,25,E
k,,26,S
l,,27,S
m,,28,F
n,,29,S
oʊ,,30,O
p,,31,F
s,,32,S
t,,33,S
t͡ʃ,,34,S
u,,35,Q
v,,36,F
w,,37,Q
z,,38,S
æ,,39,A
ð,,40,S
ŋ,,41,S
ɑ,,42,O
ɔ,,43,O
ə,,45,A
ɚ,,46,E
ɛ,,47,E
ɡ,,48,S
ɪ,,49,E
ɹ,,50,Q
ʃ,,51,S
ʊ,,52,Q
ʌ,,53,A
ʒ,,54,Q
ˈaɪ,,55,A
ˈaʊ,,56,O
ˈeɪ,,57,A
ˈi,,58,E
ˈoʊ,,59,O
ˈu,,60,Q
ˈæ,,61,A
ˈɑ,,62,O
ˈɔ,,63,O
ˈɔɪ,,64,O
ˈɚ,,65,E
ˈɛ,,66,E
ˈɪ,,67,E
ˈʊ,,68,Q
ˈʌ,,69,A
ˌaɪ,,70,A
ˌaʊ,,71,O
ˌeɪ,,72,A
ˌi,,73,E
ˌoʊ,,74,O
ˌu,,75,Q
ˌæ,,76,A
ˌɑ,,77,O
ˌɔ,,78,O
ˌɔɪ,,79,O
ˌɚ,,80,E
ˌɛ,,81,E
ˌɪ,,82,E
ˌʊ,,83,Q
ˌʌ,,84,A
θ,,85,S
!,,4,-
",",,10,-
.,,12,-
?,,15,-
;,,14,-
:,,13,-
