IPA,Arpabet (do not use),Input ID,Viseme
_,,0,-
^,,1,-
$,,2,-
(space),,3,-
!,,4,-
"""",,5,-
#,,6,-
,,7,-
(,,8,-
),,9,-
",",,10,-
-,,11,-
.,,12,-
:,,13,-
;,,14,-
?,,15,-
a,,16,A
e,,17,E
i,,18,E
o,,19,O
u,,20,O
b,,21,Q
β,,22,Q
d,,23,S
ð,,24,S
f,,25,F
ɡ,,26,S
ɣ,,27,S
j,,28,S
k,,29,S
l,,30,S
ʎ,,31,S
m,,32,Q
n,,33,S
ɲ,,34,S
ŋ,,35,S
p,,36,Q
r,,37,S
ɾ,,38,S
s,,39,S
t,,40,S
tʃ,,41,S
w,,42,O
x,,43,S
θ,,44,S
ˈa,,45,A
ˈe,,46,E
ˈi,,47,E
ˈo,,48,O
ˈu,,49,O
ˌa,,50,A
ˌe,,51,E
ˌi,,52,E
ˌo,,53,O
ˌu,,54,O
