id,word,plural,syllable,syllablePlural,ukipa,usipa,ukipaPlural,usipaPlural,inUse,pluralInUse
0008c668-39da-4882-bd40-1b4e0f4e24bd,gumboot,gumboots,gum.boot,gum.boots,ɡʌm.but,ɡʌm.but,ɡʌm.butz,ɡʌm.butz,FALSE,TRUE
000ccdd8-5ef9-4e1e-bee2-b0ad7754064b,intolerant,intolerants,in.tol.er.ant,in.tol.er.ants,,,,,FALSE,FALSE
0013f47f-aec1-4b69-96ab-ae373bc1230d,marijuana,marijuanas,ma.ri.ju.a.na,ma.ri.ju.a.nas,mæɹ.ə.wɑː.nə,mæɹ.ə.wɑː.nə,,,FALSE,FALSE
00142bbd-9821-4c14-9572-0efc9c1b6524,rather,rathers,ra.ther,ra.thers,ɹɑːð.ɚ,ɹæð.ɚ,ɹɑːð.ɚz,ɹɑːð.ɚz,TRUE,FALSE
0018a721-c9bf-44b6-a2b6-6d00606bd71a,boundary,boundaries,bound.a.ry,bound.a.ries,baʊn.dəɹ.i,baʊn.dəɹ.i,,,TRUE,FALSE
002311fd-03c1-402f-a1c9-18dd23cc2bbe,guaranteed,guaranteeds,guar.an.teed,guar.an.teeds,,,,,FALSE,FALSE
00280885-7d1f-49ad-b2b0-a1f23ca6f2f4,plum,plums,plum,plums,plʌm,plʌm,plʌmz,plʌmz,FALSE,FALSE
00287507-3f2e-4e05-b088-9809f112cdf6,momentary,momentaries,mo.men.tar.y,mo.men.tar.ies,məʊʊ.mən.təɹ.i,məʊʊ.mən.təɹ.i,,,FALSE,FALSE
002fef79-fb33-4f4e-9796-d4510a7c9978,subsidized,subsidizeds,,,sʌbsɪdaɪzd,sʌbsɪdaɪzd,,,FALSE,FALSE
00313e63-3f4b-4169-a33e-49708ed28e32,howl,howls,howl,howls,haʊl,haʊl,haʊlz,haʊlz,TRUE,TRUE
0034d205-705d-480e-9948-631994a33947,outbreak,outbreaks,out.break,out.breaks,aʊt.bɹɛɪk,aʊt.bɹɛɪk,,,FALSE,FALSE
00390102-8941-4dd6-ad5b-e2d20ebfcac6,reunion,reunions,re.un.ion,re.un.ions,ɹiː.juː.njən,ɹiː.juː.njən,,,FALSE,FALSE
004b2552-9f8d-41b2-b3d7-be0385693260,avenue,avenues,av.e.nue,av.e.nues,æv.ə.nuː,æv.ə.nuː,,,FALSE,FALSE
004f4a66-87f7-4b92-924c-de631d526757,slogan,slogans,slo.gan,slo.gans,sləʊʊ.ɡən,sləʊʊ.ɡən,,,FALSE,FALSE
005921ae-fbf6-4ca7-90c1-c28e81419f7c,inference,inferences,in.fer.ence,in.fer.ences,,,,,FALSE,FALSE
005d438f-96b0-4380-b8c3-2f85273c764c,attacked,attacked,at.tacked,a.ttacked,ʌ.tækt,ə.tækt,ʌ.tækt,ə.tækt,TRUE,TRUE
005d718c-7d31-407f-b083-853ceb574442,satisfying,satisfyings,sat.is.fy.ing,,sæt.ɪs.faɪ.ɪŋ,sæt.ɪs.faɪ.ɪŋ,,,FALSE,FALSE
0062f315-10ad-4f20-a50c-0df8b9804803,stream,streams,stream,streams,stɹim,stɹim,stɹimz,stɹimz,TRUE,TRUE
00661ce0-698c-469b-90cd-43a51807a96c,odor,odors,o.dor,o.dors,,,,,FALSE,FALSE
0066cf78-2d2d-42d0-8c79-2985caab2dcd,reputation,reputations,rep.u.ta.tion,rep.u.ta.tions,ɹɛp.jə.tɛɪ.ʃən,ɹɛp.jə.tɛɪ.ʃən,,,FALSE,FALSE
006e119e-4e5c-4664-913c-1cd99568b4dc,mattress,mattresses,mat.tress,mat.tresses,mæt.ɹəs,mæt.ɹəs,,,FALSE,FALSE
006ed916-bb72-41e7-9cc7-bac05ba620af,innovator,innovators,in.no.va.tor,in.no.va.tors,ɪn.ə.vɛɪ.tɚ,ɪn.ə.vɛɪ.tɚ,,,FALSE,FALSE
0074f033-de1c-4ea7-8be1-5197072ff060,retina,retinas,ret.i.na,ret.i.nas,ɹɛt.ən.ə,ɹɛt.ən.ə,,,FALSE,FALSE
008ac2b3-a1ba-4dcb-8e32-df7752137f9b,aquatic,aquatics,a.quat.ic,a.quat.ics,ə.kwæt.ɪk,ə.kwæt.ɪk,,,FALSE,FALSE
008ba311-89d8-4138-96b8-41badcd62c06,heading,headings,head.ing,head.ings,hɛd.ɪŋ,hɛd.ɪŋ,hɛd.ɪŋz,hɛd.ɪŋz,TRUE,FALSE
009211a6-e78d-45d4-8a6a-9333770c9a74,plc,plcs,,,piː.ɛl.siː,piː.ɛl.siː,,,FALSE,FALSE
009268da-5141-4b2c-b792-8f526744ba3d,mumble,mumbles,mum.ble,mum.bles,mʌm.bəl,mʌm.bəl,,,FALSE,FALSE
009736d5-52f5-40ef-a4f5-b3d4c9bd643a,nominal,nominals,nom.i.nal,nom.i.nals,nɑː.mə.nəl,nɑː.mə.nəl,,,FALSE,FALSE
009b39bf-4d44-4305-9fc2-2994ed0f17fd,lakebed,lakebeds,lake.bed,lake.beds,lɛɪk.bɛd,lɛɪk.bɛd,lɛɪk.bɛdz,lɛɪk.bɛdz,TRUE,FALSE
