id,word,plural,cmuarpaInputIds,cmuarpaPluralInputIds,cmuarpaVisemes,cmuarpaPluralVisemes
0008c668-39da-4882-bd40-1b4e0f4e24bd,gumboot,gumboots,"[52, 21, 65, 35, 85, 80]","[52, 21, 65, 35, 71, 80, 78]","['S', 'A', 'F', 'S', 'Q', 'S']","['S', 'A', 'F', 'S', 'O', 'S', 'S']"
000ccdd8-5ef9-4e1e-bee2-b0ad7754064b,intolerant,intolerants,"[55, 66, 80, 13, 64, 44, 20, 66, 80]","[55, 66, 80, 13, 64, 44, 20, 66, 80, 78]","['E', 'S', 'S', 'O', 'S', 'E', 'A', 'S', 'S']","['E', 'S', 'S', 'O', 'S', 'E', 'A', 'S', 'S', 'S']"
0013f47f-aec1-4b69-96ab-ae373bc1230d,marijuana,marijuanas,"[65, 42, 77, 20, 91, 13, 66, 20]","[65, 42, 77, 59, 92, 88, 94, 20, 66]","['F', 'E', 'Q', 'A', 'Q', 'O', 'S', 'A']","['F', 'E', 'Q', 'E', 'E', 'Q', 'Q', 'A', 'S']"
00142bbd-9821-4c14-9572-0efc9c1b6524,rather,rathers,"[77, 17, 38, 44]","[77, 17, 38, 44, 93]","['Q', 'A', 'S', 'E']","['Q', 'A', 'S', 'E', 'S']"
0018a721-c9bf-44b6-a2b6-6d00606bd71a,boundary,boundaries,"[35, 29, 66, 37, 44, 59]","[35, 29, 66, 37, 44, 59, 93]","['S', 'O', 'S', 'S', 'E', 'E']","['S', 'O', 'S', 'S', 'E', 'E', 'S']"
002311fd-03c1-402f-a1c9-18dd23cc2bbe,guaranteed,guaranteeds,"[52, 42, 77, 20, 66, 80, 60, 37]","[52, 42, 77, 20, 66, 80, 60, 37, 93]","['S', 'E', 'Q', 'A', 'S', 'S', 'E', 'S']","['S', 'E', 'Q', 'A', 'S', 'S', 'E', 'S', 'S']"
00280885-7d1f-49ad-b2b0-a1f23ca6f2f4,plum,plums,"[76, 64, 21, 65]","[76, 64, 21, 65, 93]","['F', 'S', 'A', 'F']","['F', 'S', 'A', 'F', 'S']"
00287507-3f2e-4e05-b088-9809f112cdf6,momentary,momentaries,"[65, 70, 65, 20, 66, 80, 42, 77, 59]","[65, 70, 65, 20, 66, 80, 77, 61, 93]","['F', 'O', 'F', 'A', 'S', 'S', 'E', 'Q', 'E']","['F', 'O', 'F', 'A', 'S', 'S', 'Q', 'E', 'S']"
002fef79-fb33-4f4e-9796-d4510a7c9978,subsidized,subsidizeds,"[78, 21, 35, 78, 55, 37, 34, 93, 37]","[78, 21, 35, 78, 55, 37, 34, 93, 37]","['S', 'A', 'S', 'S', 'E', 'S', 'A', 'S', 'S']","['S', 'A', 'S', 'S', 'E', 'S', 'A', 'S', 'S']"
00313e63-3f4b-4169-a33e-49708ed28e32,howl,howls,"[53, 29, 64]","[53, 29, 64, 93]","['A', 'O', 'S']","['A', 'O', 'S', 'S']"
0034d205-705d-480e-9948-631994a33947,outbreak,outbreaks,"[29, 80, 35, 77, 50, 63]","[29, 80, 35, 77, 50, 63, 78]","['O', 'S', 'S', 'Q', 'A', 'S']","['O', 'S', 'S', 'Q', 'A', 'S', 'S']"
00390102-8941-4dd6-ad5b-e2d20ebfcac6,reunion,reunions,"[77, 59, 88, 66, 92, 20, 66]","[77, 59, 88, 66, 92, 20, 66, 93]","['Q', 'E', 'Q', 'S', 'E', 'A', 'S']","['Q', 'E', 'Q', 'S', 'E', 'A', 'S', 'S']"
004b2552-9f8d-41b2-b3d7-be0385693260,avenue,avenues,"[17, 90, 20, 66, 89]","[17, 90, 20, 66, 89, 93]","['A', 'F', 'A', 'S', 'Q']","['A', 'F', 'A', 'S', 'Q', 'S']"
004f4a66-87f7-4b92-924c-de631d526757,slogan,slogans,"[78, 64, 70, 52, 20, 66]","[78, 64, 70, 52, 20, 66, 93]","['S', 'S', 'O', 'S', 'A', 'S']","['S', 'S', 'O', 'S', 'A', 'S', 'S']"
005921ae-fbf6-4ca7-90c1-c28e81419f7c,inference,inferences,"[56, 66, 51, 44, 20, 66, 78]","[56, 66, 51, 44, 42, 66, 78, 55, 93]","['E', 'S', 'F', 'E', 'A', 'S', 'S']","['E', 'S', 'F', 'E', 'E', 'S', 'S', 'E', 'S']"
005d438f-96b0-4380-b8c3-2f85273c764c,attacked,attacked,"[20, 80, 17, 63, 80]","[20, 80, 17, 63, 80]","['A', 'S', 'A', 'S', 'S']","['A', 'S', 'A', 'S', 'S']"
005d718c-7d31-407f-b083-853ceb574442,satisfying,satisfyings,"[78, 17, 80, 55, 78, 51, 34, 55, 67]","[78, 17, 80, 20, 78, 51, 34, 55, 67, 93]","['S', 'A', 'S', 'E', 'S', 'F', 'A', 'E', 'S']","['S', 'A', 'S', 'A', 'S', 'F', 'A', 'E', 'S', 'S']"
0062f315-10ad-4f20-a50c-0df8b9804803,stream,streams,"[78, 80, 77, 60, 65]","[78, 80, 77, 60, 65, 93]","['S', 'S', 'Q', 'E', 'F']","['S', 'S', 'Q', 'E', 'F', 'S']"
00661ce0-698c-469b-90cd-43a51807a96c,odor,odors,"[70, 37, 44]","[70, 37, 44, 93]","['O', 'S', 'E']","['O', 'S', 'E', 'S']"
0066cf78-2d2d-42d0-8c79-2985caab2dcd,reputation,reputations,"[77, 42, 76, 92, 20, 80, 49, 79, 20, 66]","[77, 42, 76, 92, 20, 80, 49, 79, 20, 66, 93]","['Q', 'E', 'F', 'E', 'A', 'S', 'A', 'S', 'A', 'S']","['Q', 'E', 'F', 'E', 'A', 'S', 'A', 'S', 'A', 'S', 'S']"
006e119e-4e5c-4664-913c-1cd99568b4dc,mattress,mattresses,"[65, 17, 80, 77, 20, 78]","[65, 17, 80, 77, 20, 78, 20, 93]","['F', 'A', 'S', 'Q', 'A', 'S']","['F', 'A', 'S', 'Q', 'A', 'S', 'A', 'S']"
006ed916-bb72-41e7-9cc7-bac05ba620af,innovator,innovators,"[56, 66, 20, 90, 50, 80, 44]","[56, 66, 20, 90, 50, 80, 44, 93]","['E', 'S', 'A', 'F', 'A', 'S', 'E']","['E', 'S', 'A', 'F', 'A', 'S', 'E', 'S']"
0074f033-de1c-4ea7-8be1-5197072ff060,retina,retinas,"[77, 41, 80, 20, 66, 20]","[77, 55, 80, 60, 66, 20, 93]","['Q', 'E', 'S', 'A', 'S', 'A']","['Q', 'E', 'S', 'E', 'S', 'A', 'S']"
008ac2b3-a1ba-4dcb-8e32-df7752137f9b,aquatic,aquatics,"[20, 63, 91, 13, 80, 55, 63]","[20, 63, 91, 13, 80, 55, 63, 78]","['A', 'S', 'Q', 'O', 'S', 'E', 'S']","['A', 'S', 'Q', 'O', 'S', 'E', 'S', 'S']"
008ba311-89d8-4138-96b8-41badcd62c06,heading,headings,"[53, 41, 37, 55, 67]","[53, 41, 37, 55, 67, 93]","['A', 'E', 'S', 'E', 'S']","['A', 'E', 'S', 'E', 'S', 'S']"
009211a6-e78d-45d4-8a6a-9333770c9a74,plc,plcs,"[76, 41, 64, 63, 49]","[76, 41, 64, 63, 78]","['F', 'E', 'S', 'S', 'A']","['F', 'E', 'S', 'S', 'S']"
009268da-5141-4b2c-b792-8f526744ba3d,mumble,mumbles,"[65, 21, 65, 35, 20, 64]","[65, 21, 65, 35, 20, 64, 93]","['F', 'A', 'F', 'S', 'A', 'S']","['F', 'A', 'F', 'S', 'A', 'S', 'S']"
